RA,Dec,COUNT_RATE,COUNT_RATE_ERR,eFLUX,eFLUX_ERR
12:29:20.914,65:17:58.215,0.022967851891266985,0.0017186373148375495,3.1190342868340565e-13,2.3339094735493923e-14
12:30:2.184,65:24:2.227,0.0008384175438439482,0.00044327380739656486,1.1385710245400816e-14,6.019658304445351e-15
12:29:24.235,65:25:11.084,0.0019877126880493753,0.0005960166268757643,2.6993138303710515e-14,8.09390579297288e-15
12:29:47.017,65:26:17.376,0.0020076217393854255,0.0006095047543307076,2.7263503220854077e-14,8.27707456381101e-15
12:29:30.771,65:26:34.672,0.002180048231785861,0.0006214250445416033,2.960505498765199e-14,8.438952104874972e-15
12:30:9.042,65:19:15.671,0.001907656135740502,0.0006102699602683944,2.5905970323356016e-14,8.287466060444797e-15
12:30:29.147,65:21:34.393,0.0014473239656607793,0.0005720625909338862,1.9654659453673384e-14,7.768609984882174e-15
12:29:2.718,65:21:51.631,0.0004469467786368862,0.0003559306401720954,6.069537253888914e-15,4.8335380935370555e-15
12:30:31.440,65:23:17.528,0.001805905257638129,0.0006109620219462954,2.452419339872579e-14,8.296864258030692e-15
12:30:11.086,65:24:35.892,0.0010013257402583526,0.00047963262475605404,1.3598003552708429e-14,6.513411044187214e-15
12:30:11.539,65:26:20.535,0.0014839984820281039,0.000571795172167686,2.015269938594165e-14,7.764978438037175e-15
12:29:18.669,65:21:51.020,0.0015643137252291017,0.0005412647407398338,2.1243380388611202e-14,7.350375179246943e-15
12:29:20.848,65:23:23.895,0.005353606552839052,0.0008921834963032946,7.270197698755432e-14,1.2115851879798741e-14
12:29:45.956,65:19:20.218,0.0007622523502056207,0.00042362541500050955,1.0351386915792329e-14,5.75283313570692e-15
12:29:58.516,65:24:56.723,0.0004469467786368862,0.0003558657738715842,6.069537253888914e-15,4.832657209176113e-15
12:29:40.201,65:18:54.020,0.00042938569565500545,0.00035602713986811554,5.831057746994974e-15,4.8348485594090094e-15
12:29:42.017,65:22:17.481,0.0003352100839776647,0.0003286335944098675,4.5521529404166865e-15,4.4628442120860005e-15
12:29:52.779,65:23:33.675,0.0006458175929844916,0.0004027577375178168,8.770202912729395e-15,5.469450075491952e-15
